"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.481209743E1,4.826419912E1,1.166448573E1,4.757043910E2,0.000000000E0,-1.000000000E0,1.375015284E0,8.001208274E0,8.001208274E0,0.000000000E0
1.581209719E1,4.826419912E1,1.166448573E1,4.757043910E2,0.000000000E0,-1.000000000E0,1.375015284E0,8.001208274E0,8.001208274E0,0.000000000E0
1.681209719E1,4.826419912E1,1.166448573E1,4.757043910E2,0.000000000E0,-1.000000000E0,1.375858642E0,8.001208274E0,8.001208274E0,0.000000000E0
1.782489491E1,4.826419197E1,1.166448955E1,4.756994291E2,1.923879385E-1,-1.000000000E0,1.375983722E0,8.001208274E0,8.001208274E0,0.000000000E0
1.882489407E1,4.826419090E1,1.166448907E1,4.756786095E2,1.923879385E-1,-1.000000000E0,1.376211132E0,6.000906205E0,6.000906205E0,0.000000000E0
1.982391965E1,4.826419216E1,1.166449148E1,4.756737260E2,1.207994223E-1,-1.000000000E0,1.376270392E0,6.000906205E0,6.000906205E0,0.000000000E0
2.082294190E1,4.826419242E1,1.166449078E1,4.756759843E2,1.777680963E-1,-1.000000000E0,1.376593366E0,6.000906205E0,6.000906205E0,0.000000000E0
2.182200956E1,4.826419007E1,1.166448823E1,4.756771439E2,6.901204586E-2,-1.000000000E0,1.376887736E0,6.000906205E0,6.000906205E0,0.000000000E0
2.282113791E1,4.826418777E1,1.166449019E1,4.756715470E2,1.777680963E-1,-1.000000000E0,1.377655799E0,8.001208274E0,8.001208274E0,0.000000000E0
2.382032871E1,4.826418467E1,1.166449947E1,4.756642307E2,5.616660118E-1,-1.000000000E0,1.378770280E0,8.001208274E0,8.001208274E0,0.000000000E0
2.481951666E1,4.826417660E1,1.166450840E1,4.756531720E2,6.025414467E-1,-1.000000000E0,1.379971238E0,8.001208274E0,8.001208274E0,0.000000000E0
2.581880820E1,4.826417466E1,1.166452435E1,4.756300934E2,8.198701143E-1,-1.000000000E0,1.381859316E0,8.001208274E0,8.001208274E0,0.000000000E0
2.681814575E1,4.826417186E1,1.166454951E1,4.756214135E2,1.153465152E0,-1.000000000E0,1.384491191E0,8.001208274E0,8.001208274E0,0.000000000E0
2.781753588E1,4.826416444E1,1.166458328E1,4.756125804E2,1.068936467E0,-1.000000000E0,1.385809673E0,8.001208274E0,8.001208274E0,0.000000000E0
2.881692100E1,4.826417476E1,1.166459205E1,4.756084561E2,1.068936467E0,-1.000000000E0,1.387493442E0,8.001208274E0,8.001208274E0,0.000000000E0
2.981639302E1,4.826418845E1,1.166458235E1,4.756130974E2,6.873263121E-1,-1.000000000E0,1.388290739E0,8.001208274E0,8.001208274E0,0.000000000E0
3.081589627E1,4.826419137E1,1.166457251E1,4.756368526E2,1.906119436E-1,-1.000000000E0,1.388426728E0,8.001208274E0,8.001208274E0,0.000000000E0
3.181542337E1,4.826419016E1,1.166457224E1,4.756468087E2,1.099797413E-1,-1.000000000E0,1.388784133E0,8.001208274E0,8.001208274E0,0.000000000E0
3.281498551E1,4.826418694E1,1.166457243E1,4.756457718E2,1.906119436E-1,-1.000000000E0,1.390455121E0,8.001208274E0,8.001208274E0,0.000000000E0
3.381457782E1,4.826419449E1,1.166455290E1,4.756400101E2,2.691348493E-1,-1.000000000E0,1.391445773E0,8.001208274E0,8.001208274E0,0.000000000E0
3.481419253E1,4.826418607E1,1.166455729E1,4.756589347E2,2.691348493E-1,-1.000000000E0,1.393925580E0,6.000906205E0,6.000906205E0,0.000000000E0
3.581383395E1,4.826416640E1,1.166457307E1,4.756431941E2,1.539101720E0,-1.000000000E0,1.395858784E0,6.000906205E0,6.000906205E0,0.000000000E0
3.681349623E1,4.826414919E1,1.166456931E1,4.756052004E2,1.840279579E0,2.091471816E2,1.397360915E0,6.000906205E0,6.000906205E0,0.000000000E0
3.781317961E1,4.826414465E1,1.166455020E1,4.756571017E2,1.539101720E0,2.606099932E2,1.399074144E0,6.000906205E0,6.000906205E0,0.000000000E0
3.881288075E1,4.826414142E1,1.166452757E1,4.756770684E2,1.530419469E0,2.465973137E2,1.400264757E0,6.000906205E0,6.000906205E0,0.000000000E0
3.981260276E1,4.826413136E1,1.166452207E1,4.756895021E2,1.518196344E0,2.163463239E2,1.401504784E0,6.000906205E0,6.000906205E0,0.000000000E0
4.081234109E1,4.826412070E1,1.166451714E1,4.757233199E2,1.196849823E0,2.138410788E2,1.403103327E0,6.000906205E0,6.000906205E0,0.000000000E0
4.181209528E1,4.826410661E1,1.166451285E1,4.757612537E2,1.538030624E0,2.053078503E2,1.405192219E0,6.000906205E0,6.000906205E0,0.000000000E0
4.281186354E1,4.826408895E1,1.166450324E1,4.758106953E2,1.538030624E0,2.055826288E2,1.408252377E0,8.001208274E0,8.001208274E0,0.000000000E0
4.381164706E1,4.826406205E1,1.166449454E1,4.758728782E2,2.208031654E0,2.011933853E2,1.413066701E0,8.001208274E0,8.001208274E0,0.000000000E0
